               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 136,            0.026578,            0.010122,                   0,             0.72776,             0.58502,             0.57005,             0.39435,            0.038732,             0.01568,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.028988,            0.011239,                   0,             0.74587,             0.59375,             0.58763,             0.42331,            0.040197,             0.01525,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.027073,           0.0098161,                   0,             0.72239,              0.6507,             0.60989,             0.39929,            0.039583,            0.013035,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.026078,            0.010214,                   0,             0.64573,              0.6266,             0.59899,              0.3907,            0.038788,            0.013363,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.025725,           0.0097829,                   0,             0.56749,             0.65625,             0.55653,             0.37007,            0.039496,            0.014504,                   0,            0.005413,            0.005413,            0.005413
                 141,             0.02532,           0.0094145,                   0,             0.57121,               0.625,             0.51846,              0.3162,            0.040584,            0.015815,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.024433,            0.009932,                   0,             0.68116,             0.65625,             0.56616,             0.37968,            0.035293,            0.014006,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.026979,            0.010142,                   0,             0.66553,             0.65625,             0.59998,             0.41288,            0.040174,             0.01358,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.027779,           0.0093287,                   0,             0.59994,             0.60946,             0.57932,             0.37656,            0.042013,            0.014031,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.024681,           0.0089995,                   0,             0.52696,              0.5625,             0.52215,             0.34504,            0.041355,            0.015631,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.025572,           0.0099225,                   0,             0.65174,                 0.5,             0.55619,             0.35741,            0.039777,            0.015699,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.023161,           0.0090908,                   0,             0.63144,             0.58907,             0.57494,             0.38136,            0.038886,            0.015506,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.025112,           0.0093752,                   0,             0.61031,             0.63646,             0.58689,             0.38772,            0.037924,            0.015118,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.026827,           0.0094058,                   0,             0.57513,             0.59227,             0.57865,             0.38107,            0.038099,            0.017584,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.025118,           0.0095041,                   0,             0.56742,             0.57409,             0.55308,             0.37697,            0.038283,            0.017405,                   0,            0.005083,            0.005083,            0.005083
                 151,             0.02606,           0.0096651,                   0,             0.59711,               0.625,             0.57955,              0.3952,            0.043309,            0.015801,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.025481,           0.0088125,                   0,             0.62796,             0.46875,             0.55083,             0.40547,            0.041833,            0.017001,                   0,            0.005017,            0.005017,            0.005017
